Campus,Título, Nome Coordenador, 
Araçuaí,Processos de Construções Literárias: Um olhar na perspectiva do letramento literário.,Elizabeth Moreira Gomes,
Araçuaí,Tenho uma foto pra te contar: Resgate histórico do Vale do Jequitinhonha por meio da memória oral inter-relacionada à arte visual.,Ernani Calazans de Oliveira,
Araçuaí,Um olhar sobre os contos do escritor argentino Júlio Cortázar: uma discussão político-social.,Lucas Leal Teixeira,
Araçuaí,Avaliação da capacidade funcional dos idosos residentes em uma instituição de longa permanência do município de Araçuaí/MG.,Francisca Souza Santos Dias,
Araçuaí,Integração de modelos de probabilidade e tendência de ocorrência de incêndios florestais como instrumento de auxílio à gestão em uma área protegida do Bioma Cerrado.,Rosane Gomes da Silva,
Araçuaí,Biomonitor de material particulado por meio da arborização urbana.,Kaíque Mesquita Cardoso,
Araçuaí,A ansiedade no ambiente escolar: Percepções dos estudantes dos cursos técnicos integrados ao ensino médio do IFNMG- Araçuaí/MG.,Juliana de Almeida Pereira e Santos,
Araçuaí,LABSICCX- Laboratório de sistemas computacionais complexos: Computação científica mais amigável.,JeanCarlo Campos Leão,
Araçuaí,Estado da Arte: Levantamento sobre as produções científicas sobre o mundo agrário/rural no Instituto Federal do Norte de Minas Gerais- IFNMG.,Fabiano Rosa de Magalhães,
Araçuaí,O museu de Araçuaí: Percepções sobre o lugar,Aureliane Aparecida de Araújo,
Araçuaí,"Foguetes de água e Base de lançamento: Construção, lançamentos e estudos de suas propriedades.",Agamenon Pereira Xavier,
Araçuaí,Ruptura de Gôndula: Uma análise para as causas e possíveis soluções nos supermercados do município de Araçuaí/MG,Cleisson da Silva Rios,
Araçuaí,"Análise demográfica, clínica e terapêutica de usuários e Benzilpenicilina Benzatina de um município do médio Jequitinhonha.",Clara Cythia Melo e Lima,
Araçuaí,Desempenho de plantas forrageiras cultivadas com composto orgânico à base de pó de Rocha.,Eliane Macedo Sobrinho Santos,
Araçuaí,Estudo de Caso sobre a Aplicação de um Provedor de Questões de Programação Integrado ao Moodle em Cursos de Introdução à Programação,Fernando Marcos Souza Silva,
Araçuaí,Estudo de Caso sobre o Uso de Técnicas de Mineração de Textos para Detecção de Motivação nos Alunos de Cursos na Modalidade a Distância,Fernando Marcos Souza Silva,
Araçuaí,IFNMG Online: Estudantes e a Adicção em Internet no Campus Araçuaí,Thaiana Martins Marques,
